id,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,labels,funding_total_usd_log,category_code_encoded,funding_duration,milestone_duration,milestones_per_year,avg_participants_per_round,situacao_funding
719,10.42,13.09,8.98,12.72,4,3,3,1,0,0,0,0,1,1,0,0,0,0,1.0,0,15.223444338835934,8,2.67,3.74,0.8174386920980926,0.25,Múltiplas rodadas de funding
429,3.79,3.79,-1.0,-1.0,21,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1,17.622173069956816,0,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
178,0.71,2.28,1.95,2.28,5,2,2,1,0,0,0,0,1,0,1,0,0,0,1.0,0,15.46416937585933,22,1.5699999999999998,0.32999999999999985,0.7782101167315175,0.3333333333333333,Múltiplas rodadas de funding
197,3.0,5.0,9.62,10.39,16,2,2,0,0,1,0,0,0,1,0,1,0,0,2.0,1,16.489659276356317,0,2.0,0.7700000000000014,0.6666666666666666,0.6666666666666666,Múltiplas rodadas de funding
444,0.66,5.88,6.21,8.61,29,5,4,1,0,0,0,0,0,0,1,1,1,1,2.8,1,18.064005814299346,33,5.22,2.3999999999999995,0.6430868167202572,0.4666666666666666,Múltiplas rodadas de funding
67,1.09,1.09,-1.0,-1.0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,4.0,0,16.835935492889124,29,0.0,0.0,0.0,2.0,Apenas uma rodada de funding
505,0.65,0.65,-1.0,-1.0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,13.710151153416941,29,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
410,0.34,5.22,3.0,6.03,5,4,3,0,0,1,0,0,1,0,1,1,1,0,3.0,1,17.70180543534093,29,4.88,3.0300000000000002,0.5102040816326531,0.6,Múltiplas rodadas de funding
284,0.0,0.0,0.74,0.74,2,1,1,1,0,0,0,0,0,1,0,0,0,0,2.0,0,10.819798284210286,11,0.0,0.0,1.0,1.0,Recebeu funding no 1º ano
252,0.08,4.33,3.66,5.61,12,7,5,0,1,0,0,0,1,1,1,1,1,1,3.1667,1,18.300219382280847,17,4.25,1.9500000000000002,0.9523809523809523,0.3958375,Múltiplas rodadas de funding
324,0.75,3.07,3.92,4.5,16,3,2,1,0,0,0,0,0,1,0,0,0,0,3.6667,1,14.508658238524095,30,2.32,0.5800000000000001,0.6024096385542169,0.916675,Múltiplas rodadas de funding
105,1.25,1.25,2.17,4.6,21,2,2,1,0,0,0,0,0,1,1,0,0,0,4.0,1,15.607270193858982,33,0.0,2.4299999999999997,2.0,1.3333333333333333,Apenas uma rodada de funding
673,1.28,2.01,2.16,3.44,12,2,3,1,0,0,0,0,0,0,1,1,0,0,4.0,1,15.555976908243359,8,0.7299999999999998,1.2799999999999998,1.7341040462427748,1.3333333333333333,Múltiplas rodadas de funding
749,0.0,0.0,0.33,0.33,2,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,0,14.220976332738882,9,0.0,0.0,1.0,3.0,Recebeu funding no 1º ano
211,2.24,4.03,-1.0,-1.0,3,2,0,0,0,1,0,0,0,0,0,1,1,0,2.5,1,16.59432989206649,29,1.79,0.0,0.0,0.8333333333333334,Múltiplas rodadas de funding
841,0.0,0.0,-1.0,-1.0,21,1,2,1,0,0,0,0,1,0,0,0,0,0,4.0,1,15.551581297543178,33,0.0,0.0,2.0,2.0,Recebeu funding no 1º ano
48,0.25,0.25,1.12,1.66,9,1,2,0,0,1,0,0,0,0,1,0,0,0,1.0,1,14.914123179965662,29,0.0,0.5399999999999998,2.0,0.5,Apenas uma rodada de funding
381,0.22,2.05,0.04,3.92,8,4,3,0,1,0,0,0,1,0,1,0,0,0,1.5,1,15.068272955030908,0,1.8299999999999998,3.88,1.0600706713780919,0.3,Múltiplas rodadas de funding
315,0.75,7.82,4.32,5.9,16,7,3,0,0,0,0,1,1,0,1,1,0,0,1.3333,0,17.08852678037267,33,7.07,1.58,0.37174721189591076,0.1666625,Múltiplas rodadas de funding
831,1.23,1.23,0.32,1.3,4,2,2,1,0,0,0,0,0,1,0,0,0,0,3.0,1,14.151983508870947,8,0.0,0.98,2.0,1.0,Apenas uma rodada de funding
130,2.42,5.44,2.0,2.0,2,3,1,1,0,0,0,0,1,0,0,1,0,0,3.5,1,17.077445910607096,27,3.0200000000000005,0.0,0.24875621890547261,0.875,Múltiplas rodadas de funding
452,3.6,7.93,8.59,9.11,1,3,2,0,0,0,0,1,0,0,0,1,1,1,4.5,1,16.88173223597427,29,4.33,0.5199999999999996,0.37523452157598497,1.125,Múltiplas rodadas de funding
580,2.21,4.65,-1.0,-1.0,1,2,1,0,0,0,1,0,1,0,0,0,1,0,2.0,1,16.811242881518265,26,2.4400000000000004,0.0,0.2906976744186046,0.6666666666666666,Múltiplas rodadas de funding
599,1.46,6.39,6.42,6.42,4,3,1,1,0,0,0,0,0,0,1,1,1,0,5.0,1,17.87595358575207,3,4.93,0.0,0.16863406408094436,1.25,Múltiplas rodadas de funding
194,1.16,3.04,3.27,5.54,7,2,2,1,0,0,0,0,0,0,1,1,0,0,3.5,1,17.858561843342684,33,1.8800000000000001,2.27,0.6944444444444444,1.1666666666666667,Múltiplas rodadas de funding
754,1.59,1.59,1.19,2.55,6,1,2,1,0,0,0,0,0,0,1,0,0,0,2.0,1,14.914123179965662,29,0.0,1.3599999999999999,2.0,1.0,Apenas uma rodada de funding
485,1.59,3.18,-1.0,-1.0,1,3,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,16.99979497947072,27,1.59,0.0,0.0,0.5,Múltiplas rodadas de funding
487,1.42,3.33,4.42,9.82,11,2,3,1,0,0,0,0,0,0,1,1,0,0,3.5,1,17.399029524198163,12,1.9100000000000001,5.4,1.0309278350515463,1.1666666666666667,Múltiplas rodadas de funding
299,4.3,4.3,-1.0,-1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,14.77102238760702,23,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
223,1.25,1.25,2.59,2.59,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,14.220976332738882,6,0.0,0.0,1.0,0.5,Apenas uma rodada de funding
220,4.04,4.04,6.0,6.0,10,1,1,0,1,0,0,0,0,0,1,0,0,0,1.0,1,16.811242881518265,0,0.0,0.0,1.0,0.5,Apenas uma rodada de funding
764,0.63,0.63,0.59,3.01,8,2,2,1,0,0,0,0,0,1,1,0,0,0,5.0,1,14.74570458948466,33,0.0,2.42,2.0,1.6666666666666667,Apenas uma rodada de funding
807,0.16,1.5,3.16,5.55,6,2,2,1,0,0,0,0,0,1,1,0,0,0,1.0,1,15.068273812173887,29,1.34,2.3899999999999997,0.8547008547008548,0.3333333333333333,Múltiplas rodadas de funding
798,0.86,2.93,3.0,3.0,4,3,1,1,0,0,0,0,0,0,1,1,0,0,2.0,1,16.759949589762293,8,2.0700000000000003,0.0,0.3257328990228013,0.5,Múltiplas rodadas de funding
869,5.2,8.12,8.01,8.01,2,2,1,0,0,1,0,0,1,0,0,0,1,0,2.5,0,16.118095750958314,23,2.919999999999999,0.0,0.2551020408163266,0.8333333333333334,Múltiplas rodadas de funding
295,1.24,4.97,1.0,1.0,1,5,1,0,0,1,0,0,1,0,1,0,0,0,2.0,0,16.390410322440438,33,3.7299999999999995,0.0,0.21141649048625794,0.3333333333333333,Múltiplas rodadas de funding
264,-1.0,-1.0,-1.0,-1.0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,15.955576839107596,21,0.0,0.0,0.0,0.5,Nunca recebeu funding
321,0.04,2.13,1.76,4.87,9,3,4,0,1,0,0,0,0,0,1,1,0,0,2.0,1,15.53827733427679,33,2.09,3.1100000000000003,1.2944983818770228,0.5,Múltiplas rodadas de funding
697,1.25,1.88,2.25,3.22,4,2,2,1,0,0,0,0,0,1,1,0,0,0,2.5,1,13.83531416565213,28,0.6299999999999999,0.9700000000000002,1.2269938650306749,0.8333333333333334,Múltiplas rodadas de funding
450,4.37,9.36,4.0,9.36,5,3,2,1,0,0,0,0,1,0,1,1,0,0,2.6667,1,17.01461382788412,8,4.989999999999999,5.359999999999999,0.33388981636060105,0.666675,Múltiplas rodadas de funding
50,3.21,3.21,5.25,7.88,11,1,2,1,0,0,0,0,0,0,0,0,0,1,2.0,1,16.118095750958314,29,0.0,2.63,2.0,1.0,Apenas uma rodada de funding
478,0.04,1.59,2.28,4.39,4,2,2,0,0,0,0,1,0,0,1,0,0,0,2.0,1,16.118095750958314,33,1.55,2.11,0.7843137254901962,0.6666666666666666,Múltiplas rodadas de funding
731,5.64,5.64,4.25,4.25,3,1,1,0,0,1,0,0,0,0,0,0,0,1,4.0,1,16.166885910365842,26,0.0,0.0,1.0,2.0,Apenas uma rodada de funding
795,0.67,2.08,3.03,4.29,23,3,3,1,0,0,0,0,0,1,1,1,0,0,2.6667,1,16.118095750958314,0,1.4100000000000001,1.2600000000000002,1.2448132780082988,0.666675,Múltiplas rodadas de funding
566,1.8,1.8,1.92,1.92,8,1,1,0,1,0,0,0,0,1,0,0,0,0,8.0,1,13.910821646859095,33,0.0,0.0,1.0,4.0,Apenas uma rodada de funding
466,7.51,9.95,0.42,0.42,3,5,1,1,0,0,0,0,1,0,0,0,0,1,5.6667,1,17.75612103968068,11,2.4399999999999995,0.0,0.29069767441860467,0.9444499999999999,Múltiplas rodadas de funding
896,2.12,6.02,2.0,6.51,5,3,2,0,0,1,0,0,1,0,1,1,0,0,1.6667,1,16.90199724044883,29,3.8999999999999995,4.51,0.4081632653061225,0.416675,Múltiplas rodadas de funding
312,1.16,7.5,-1.0,-1.0,5,4,0,1,0,0,0,0,0,0,1,1,1,0,2.0,1,16.759949589762293,11,6.34,0.0,0.0,0.4,Múltiplas rodadas de funding
786,-1.0,-1.0,0.05,0.05,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0,11.918397239722838,11,0.0,0.0,1.0,0.5,Nunca recebeu funding
49,0.19,1.19,1.36,1.66,6,2,2,1,0,0,0,0,0,1,0,0,0,0,9.5,1,13.959611767738522,29,1.0,0.2999999999999998,1.0,3.1666666666666665,Múltiplas rodadas de funding
706,0.82,0.82,-1.0,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,14.508658238524095,0,0.0,0.0,0.0,0.5,Apenas uma rodada de funding
909,1.0,6.45,6.53,7.01,28,4,2,1,0,0,0,0,0,0,1,1,1,0,7.5,1,18.505940597085925,4,5.45,0.47999999999999954,0.31007751937984496,1.5,Múltiplas rodadas de funding
874,1.97,3.19,2.25,2.25,5,2,1,1,0,0,0,0,0,0,1,1,0,0,2.5,1,16.36495580701484,17,1.22,0.0,0.4504504504504505,0.8333333333333334,Múltiplas rodadas de funding
378,2.48,4.82,5.59,11.95,21,2,3,1,0,0,0,0,0,0,0,1,0,1,4.0,1,17.93454774903691,12,2.3400000000000003,6.359999999999999,0.8982035928143711,1.3333333333333333,Múltiplas rodadas de funding
496,0.07,4.39,-1.0,-1.0,15,4,0,0,0,0,0,1,0,1,1,0,1,1,4.75,1,18.06257622151019,3,4.319999999999999,0.0,0.0,0.95,Múltiplas rodadas de funding
189,4.65,8.13,6.01,6.01,4,4,1,1,0,0,0,0,1,0,1,1,0,0,1.0,1,15.791008773742771,8,3.4800000000000004,0.0,0.2232142857142857,0.2,Múltiplas rodadas de funding
490,-1.0,-1.0,0.83,0.83,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,14.508658238524095,33,0.0,0.0,1.0,0.5,Nunca recebeu funding
20,2.5,2.83,3.09,3.49,13,2,3,1,0,0,0,0,0,0,1,1,0,0,1.0,0,17.147715103853763,8,0.33000000000000007,0.40000000000000036,2.255639097744361,0.3333333333333333,Múltiplas rodadas de funding
684,2.92,4.92,2.0,12.51,6,2,5,0,0,1,0,0,0,0,1,1,0,0,1.0,1,16.588099342704055,33,2.0,10.51,1.6666666666666667,0.3333333333333333,Múltiplas rodadas de funding
495,0.0,2.43,2.43,2.5,8,2,2,0,1,0,0,0,0,1,1,0,0,0,4.0,0,16.016063036135133,33,2.43,0.06999999999999984,0.5830903790087463,1.3333333333333333,Recebeu funding no 1º ano
700,1.16,4.16,3.0,8.92,19,4,4,1,0,0,0,0,0,0,1,1,1,1,1.3333,1,17.312018149733785,17,3.0,5.92,1.0,0.26666,Múltiplas rodadas de funding
86,5.44,5.44,-1.0,-1.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,13.815511557963774,29,0.0,0.0,0.0,1.5,Apenas uma rodada de funding
399,5.08,5.08,4.76,6.05,7,1,2,1,0,0,0,0,0,0,1,0,0,0,1.0,1,15.424948670398354,8,0.0,1.29,2.0,0.5,Apenas uma rodada de funding
557,0.0,2.75,3.33,5.24,9,2,2,0,0,1,0,0,0,0,1,1,0,0,1.0,1,16.811242881518265,8,2.75,1.9100000000000001,0.5333333333333333,0.3333333333333333,Recebeu funding no 1º ano
232,0.42,1.47,3.13,4.14,12,2,3,1,0,0,0,0,0,0,1,0,0,0,3.5,1,15.830413711839864,8,1.05,1.0099999999999998,1.4634146341463417,1.1666666666666667,Múltiplas rodadas de funding
218,1.14,3.74,2.46,3.22,14,3,3,1,0,0,0,0,0,0,1,1,0,0,3.0,1,16.470862899791964,33,2.6000000000000005,0.7600000000000002,0.8333333333333333,0.75,Múltiplas rodadas de funding
307,4.37,4.37,-1.0,-1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,13.403022345492023,14,0.0,0.0,0.0,1.5,Apenas uma rodada de funding
672,0.92,2.49,2.58,5.38,18,3,3,0,0,0,0,1,1,0,1,1,0,0,3.3333,1,16.924571561468124,17,1.5700000000000003,2.8,1.1673151750972761,0.833325,Múltiplas rodadas de funding
202,0.0,0.0,-1.0,-1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0,0,17.622173069956816,33,0.0,0.0,0.0,1.0,Recebeu funding no 1º ano
296,2.82,2.82,0.0,2.82,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1.0,0,16.811242881518265,29,0.0,2.82,2.0,0.5,Apenas uma rodada de funding
351,0.33,0.33,-1.0,-1.0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,9.90353755128617,33,0.0,0.0,1.0,0.5,Apenas uma rodada de funding
41,0.0,4.8,3.72,7.62,26,4,5,0,0,0,0,1,0,0,1,1,1,0,3.0,1,17.312018149733785,8,4.8,3.9,0.8620689655172414,0.6,Recebeu funding no 1º ano
825,11.15,11.15,-1.0,-1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7.0,0,16.705882371415992,27,0.0,0.0,0.0,3.5,Apenas uma rodada de funding
436,4.03,4.08,-1.0,-1.0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,14.629753060277123,3,0.04999999999999982,0.0,0.0,0.3333333333333333,Múltiplas rodadas de funding
120,1.75,1.75,1.0,2.11,4,1,2,0,1,0,0,0,0,1,0,0,0,0,6.0,1,13.26212705890841,33,0.0,1.1099999999999999,2.0,3.0,Apenas uma rodada de funding
96,3.72,3.72,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3.0,0,15.201805169084134,23,0.0,0.0,0.0,1.5,Apenas uma rodada de funding
380,5.01,5.01,4.95,7.37,23,4,6,0,0,1,0,0,0,0,1,1,1,0,2.5,1,16.765198945372877,17,0.0,2.42,6.0,0.5,Apenas uma rodada de funding
556,1.78,2.39,2.31,4.63,37,2,3,1,0,0,0,0,0,0,1,0,0,0,4.0,1,18.1462439114085,11,0.6100000000000001,2.32,1.8633540372670807,1.3333333333333333,Múltiplas rodadas de funding
136,5.16,6.01,-1.0,-1.0,1,3,0,0,0,0,0,1,1,0,0,1,0,0,1.0,1,17.039637053901,17,0.8499999999999996,0.0,0.0,0.25,Múltiplas rodadas de funding
227,4.24,4.24,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6.0,1,17.72753358339242,3,0.0,0.0,0.0,3.0,Apenas uma rodada de funding
266,1.34,1.34,1.35,1.35,3,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,1,14.508658238524095,29,0.0,0.0,1.0,1.0,Apenas uma rodada de funding
39,0.17,2.65,0.61,4.75,10,3,3,1,0,0,0,0,0,1,1,0,0,0,2.3333,1,14.41595181469963,6,2.48,4.14,0.8620689655172414,0.583325,Múltiplas rodadas de funding
602,3.65,3.65,-1.0,-1.0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,4.0,0,16.860033043306743,29,0.0,0.0,0.0,2.0,Apenas uma rodada de funding
756,6.55,8.6,5.0,5.0,4,3,1,1,0,0,0,0,1,0,0,0,1,0,2.5,1,17.081270006899263,27,2.05,0.0,0.3278688524590164,0.625,Múltiplas rodadas de funding
890,0.0,3.45,2.02,3.98,9,4,3,1,0,0,0,0,0,0,1,1,1,1,3.0,1,17.399029524198163,29,3.45,1.96,0.6741573033707865,0.6,Recebeu funding no 1º ano
782,3.92,9.3,10.75,10.75,10,2,1,1,0,0,0,0,1,0,1,0,0,0,2.0,1,17.01418371633128,12,5.380000000000001,0.0,0.1567398119122257,0.6666666666666666,Múltiplas rodadas de funding
111,0.79,2.9,3.05,6.52,11,2,3,1,0,0,0,0,0,1,1,0,0,0,4.0,1,14.827111833279051,33,2.11,3.4699999999999998,0.9646302250803859,1.3333333333333333,Múltiplas rodadas de funding
267,1.11,1.94,0.0,1.11,3,2,2,0,0,0,1,0,0,0,1,0,0,0,1.5,1,15.226497775576945,8,0.8299999999999998,1.11,1.092896174863388,0.5,Múltiplas rodadas de funding
884,1.48,2.25,2.25,2.25,6,2,1,1,0,0,0,0,1,0,0,0,0,0,1.0,1,15.201805169084134,33,0.77,0.0,0.5649717514124294,0.3333333333333333,Múltiplas rodadas de funding
918,5.63,8.76,8.5,8.76,9,5,2,0,0,0,0,1,1,0,0,0,1,1,5.6,1,18.623621596112322,17,3.13,0.2599999999999998,0.48426150121065376,0.9333333333333332,Múltiplas rodadas de funding
806,1.0,2.71,-1.0,-1.0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,1.0,0,16.300417291085605,11,1.71,0.0,0.0,0.3333333333333333,Múltiplas rodadas de funding
131,7.53,7.53,10.73,10.73,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5.0,1,17.216707972959764,33,0.0,0.0,1.0,2.5,Apenas uma rodada de funding
905,4.28,4.28,-1.0,-1.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0,16.012735246411598,21,0.0,0.0,0.0,1.0,Apenas uma rodada de funding
150,4.16,4.16,5.58,11.39,5,2,5,1,0,0,0,0,0,0,1,1,0,0,4.0,1,17.022313842084035,33,0.0,5.8100000000000005,5.0,1.3333333333333333,Apenas uma rodada de funding
376,0.36,0.36,0.38,0.54,9,1,3,1,0,0,0,0,0,1,0,0,0,0,1.0,0,11.51293546492023,6,0.0,0.16000000000000003,3.0,0.5,Apenas uma rodada de funding
898,0.0,5.3,5.0,5.0,17,4,1,1,0,0,0,0,1,0,1,1,0,0,2.25,1,17.36225027373553,29,5.3,0.0,0.15873015873015872,0.45,Recebeu funding no 1º ano
765,5.47,8.95,8.84,8.95,4,3,2,0,0,0,1,0,1,0,0,1,1,0,5.3333,1,16.759949589762293,8,3.4799999999999995,0.10999999999999943,0.44642857142857145,1.333325,Múltiplas rodadas de funding
344,3.06,5.01,-1.0,-1.0,2,4,0,1,0,0,0,0,1,0,1,1,0,0,4.3333,1,18.308631262515107,3,1.9499999999999997,0.0,0.0,0.8666600000000001,Múltiplas rodadas de funding
448,6.44,9.0,10.01,10.01,10,3,1,1,0,0,0,0,0,0,0,0,0,1,3.0,1,17.281246492014,27,2.5599999999999996,0.0,0.2808988764044944,0.75,Múltiplas rodadas de funding
710,6.33,7.53,7.17,10.93,8,3,3,1,0,0,0,0,0,0,1,1,0,0,2.3333,1,16.67198082165602,33,1.2000000000000002,3.76,1.3636363636363635,0.583325,Múltiplas rodadas de funding
799,3.47,3.47,2.0,2.0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,4.0,1,17.216707972959764,27,0.0,0.0,1.0,2.0,Apenas uma rodada de funding
332,5.57,8.53,5.61,7.84,3,3,2,1,0,0,0,0,1,0,0,0,1,0,1.5,0,17.40732832678329,2,2.959999999999999,2.2299999999999995,0.5050505050505052,0.375,Múltiplas rodadas de funding
271,4.32,5.83,-1.0,-1.0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,3.0,0,16.588099342704055,29,1.5099999999999998,0.0,0.0,1.0,Múltiplas rodadas de funding
38,1.06,5.7,-1.0,-1.0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,4.5,0,17.599700214609808,12,4.640000000000001,0.0,0.0,1.125,Múltiplas rodadas de funding
843,0.0,0.0,-1.0,-1.0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,11.736077016252437,8,0.0,0.0,0.0,0.5,Recebeu funding no 1º ano
234,1.44,6.68,2.0,2.0,7,4,1,1,0,0,0,0,1,0,1,0,0,0,1.0,1,15.601419781158732,29,5.24,0.0,0.16025641025641024,0.2,Múltiplas rodadas de funding
314,0.5,3.1,2.24,3.76,10,3,3,1,0,0,0,0,0,1,1,1,0,0,2.0,1,15.803385043104912,0,2.6,1.5199999999999996,0.8333333333333333,0.5,Múltiplas rodadas de funding
34,0.0,0.87,0.41,2.17,3,2,2,1,0,0,0,0,1,0,0,0,0,0,5.0,1,14.650591234412886,17,0.87,1.76,1.06951871657754,1.6666666666666667,Recebeu funding no 1º ano
388,7.69,14.03,12.5,14.03,3,3,2,0,0,1,0,0,1,0,1,1,0,0,2.3333,0,16.99979497947072,29,6.339999999999999,1.5299999999999994,0.2724795640326976,0.583325,Múltiplas rodadas de funding
400,0.0,2.54,3.77,5.92,9,3,3,1,0,0,0,0,1,1,1,0,0,0,1.6667,1,14.737783759130211,19,2.54,2.15,0.847457627118644,0.416675,Recebeu funding no 1º ano
866,0.79,4.32,3.98,3.98,5,3,1,1,0,0,0,0,0,0,1,1,0,0,2.6667,1,17.05418904934434,4,3.5300000000000002,0.0,0.22075055187637968,0.666675,Múltiplas rodadas de funding
364,3.34,3.94,-1.0,4.72,5,3,4,1,0,0,0,0,0,1,0,0,0,0,1.0,1,14.414347608503377,17,0.6000000000000001,5.72,2.5,0.25,Múltiplas rodadas de funding
230,1.68,5.85,8.42,8.42,4,3,1,1,0,0,0,0,0,0,0,1,1,1,4.5,1,17.136601685489413,4,4.17,0.0,0.19342359767891684,1.125,Múltiplas rodadas de funding
306,4.76,6.22,3.67,6.22,2,2,2,1,0,0,0,0,0,0,1,1,0,0,3.5,1,16.648723960844016,17,1.46,2.55,0.8130081300813008,1.1666666666666667,Múltiplas rodadas de funding
856,1.93,1.93,1.67,2.47,1,1,2,1,0,0,0,0,1,0,0,0,0,0,2.0,1,16.300417291085605,29,0.0,0.8000000000000003,2.0,1.0,Apenas uma rodada de funding
303,0.83,7.25,8.01,8.4,23,7,4,0,1,0,0,0,0,1,1,1,1,1,2.0,1,17.122397296785223,11,6.42,0.39000000000000057,0.5390835579514824,0.25,Múltiplas rodadas de funding
627,2.16,4.96,-1.0,-1.0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2.0,0,15.201805169084134,16,2.8,0.0,0.0,0.6666666666666666,Múltiplas rodadas de funding
80,1.34,1.34,0.0,1.55,4,7,2,0,0,1,0,0,1,1,0,0,0,0,1.0,0,13.03305773423396,17,0.0,1.55,2.0,0.125,Apenas uma rodada de funding
616,2.0,2.0,3.66,4.08,12,1,2,1,0,0,0,0,0,0,0,1,0,0,3.0,1,16.213405921671733,8,0.0,0.41999999999999993,2.0,1.5,Apenas uma rodada de funding
515,3.09,3.09,5.0,5.0,6,1,1,1,0,0,0,0,0,0,1,0,0,0,5.0,1,14.946912992035967,0,0.0,0.0,1.0,2.5,Apenas uma rodada de funding
642,0.42,0.42,-1.0,-1.0,5,3,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,15.59046307836746,29,0.0,0.0,0.0,0.25,Apenas uma rodada de funding
658,2.1,2.1,2.28,3.17,6,1,3,1,0,0,0,0,0,0,1,0,0,0,2.0,1,15.226497775576945,0,0.0,0.8900000000000001,3.0,1.0,Apenas uma rodada de funding
15,4.67,9.0,8.84,8.84,12,5,1,0,0,0,0,1,0,0,1,1,0,0,2.5,1,16.185754392890075,29,4.33,0.0,0.18761726078799248,0.4166666666666667,Múltiplas rodadas de funding
532,0.02,0.02,0.0,0.0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2.0,0,10.308985993422082,0,0.0,0.0,1.0,1.0,Apenas uma rodada de funding
746,1.76,2.33,0.88,3.03,12,2,3,1,0,0,0,0,1,0,1,0,0,0,1.0,0,15.07657497389894,33,0.5700000000000001,2.15,1.910828025477707,0.3333333333333333,Múltiplas rodadas de funding
411,0.0,1.41,1.41,1.41,1,2,1,1,0,0,0,0,0,1,1,0,0,0,2.5,0,15.024471202308668,16,1.41,0.0,0.41493775933609955,0.8333333333333334,Recebeu funding no 1º ano
